,loc_info,LATITUDE,LONGITUDE
119,CC3 | ESPLANADE,1.2936577245386,103.855081226245
120,CC4 | PROMENADE,1.29399798636231,103.860350000188
121,CC5 | NICOLL HIGHWAY,1.29976684675137,103.86363696572
122,CC6 | STADIUM,1.3028124684707,103.875337711089
123,CC7 | MOUNTBATTEN,1.30620190525331,103.882528081052
124,CC8 | DAKOTA,1.30854798388122,103.889064718377
125,CC9 | PAYA LEBAR,1.31724738540347,103.892260753884
126,CC10 | MACPHERSON,1.32607760171665,103.890391305725
127,CC11 | TAI SENG,1.33514150139202,103.888389300191
128,CC12 | BARTLEY,1.34250117805243,103.880177899184
129,CC13 | SERANGOON,1.35063361526525,103.872771660431
130,CC14 | LORONG CHUAN,1.35161217074555,103.864151938651
131,CC15 | BISHAN,1.35131580146658,103.84914026532
132,CC16 | MARYMOUNT,1.348707263451,103.839423132332
133,CC17 | CALDECOTT,1.33767450815619,103.839529820338
134,CC19 | BOTANIC GARDENS,1.32211373558875,103.814984510627
135,CC20 | FARRER ROAD,1.31743915158966,103.807379214161
136,CC21 | HOLLAND VILLAGE,1.31224029631595,103.796399122407
137,CC22 | BUONA VISTA,1.30663450405,103.790709404436
138,CC23 | NORTH,1.29975987493554,103.78745750525
139,CC24 | KENT RIDGE,1.29353349887123,103.784572738173
140,CC25 | HAW PAR VILLA,1.28257135772487,103.781752725064
141,CC26 | PASIR PANJANG,1.27621352233766,103.791350313288
142,CC27 | LABRADOR PARK,1.27225417749655,103.802631578766
143,CC28 | TELOK BLANGAH,1.2707064771776,103.809761611219
144,CC29 | HARBOURFRONT,1.26538938374901,103.821530157095
