title,review_counts,address,search_keyword,LATITUDE,LONGITUDE,X,Y,score,keyword_len
Wild Wild Wet,415,"1 Pasir Ris Close E!Hub@Downtown East, Singapore 519599 Singapore",519599,1.37918445128044,103.955013328302,41543.1094843131,40129.0710388646,0,6
Resorts World Sentosa Casino,408,"8 Sentosa Gateway Resorts World Sentosa, Singapore 098269 Singapore",098269,1.25531954546872,103.82046852826,26569.8798465151,26432.3834745698,0,6
St Andrew's Cathedral,402,"11 St. Andrew's Road St. Andrew's Cathedral, Singapore 178959 Singapore",178959,1.29230539674524,103.852233762302,30105.0965931835,30522.0917945597,0,6
Mount Faber,390,"109 Mount Faber Road Faber Peak Faber Peak, Singapore 099203 Singapore",099203,1.2712732648272,103.81940927888,26452.0023038434,28196.4637057837,0,6
ION Sky,340,"2 Orchard Turn Level 4 Ion Orchard Level 55/56, Singapore 238801 Singapore",238801,1.30404253406976,103.831888294023,27840.8223430291,31819.9161651842,0,6
Holland Village,339,"Holland Avenue Lorong Liput, Lorong Mambong,, Singapore 278967 Singapore",278967,1.31025541884853,103.795350439947,23774.5034863846,32506.9369829856,0,6
City Square Mall,327,"180 Kitchener Road City Square Mall, Singapore 208539 Singapore",208539,1.31147744952233,103.856780762986,30611.1188334599,32642.0430317204,0,6
Plaza Singapura,323,"68 Orchard Road Plaza Singapura, Singapore 238839 Singapore",238839,1.30082071769235,103.845067272666,29307.5237809345,31463.6672937293,0,6
Emerald Hill,319,"Off Orchard Road, Singapore Singapore",Emerald Hill,1.30396167975506,103.839590950413,28698.0544659226,31810.9179063965,0.9306617817558913,12
Thian Hock Keng Temple,306,"158 Telok Ayer Street Chinatown, Singapore 068613 Singapore",068613,1.28102794943067,103.847477726734,29575.7977891406,29275.0864302889,0,6
Snow City Singapore,285,"21 Jurong Town Hall Road, Singapore 609433 Singapore",609433,1.334526565114,103.735469565154,17110.42702726,35190.900345603,0,6
Cavenagh Bridge,281,"Mouth of Singapore River, Singapore Singapore",Cavenagh Bridge,1.28650387921229,103.852319215462,30114.6115760086,29880.589968361,,15
Statue of Raffles,276,"Downtown Core, Singapore Singapore",ASIAN CIVILISATIONS MUSEUM,1.28757127097357,103.851418279632,30014.3441278711,29998.6159149557,,17
Tekka Centre,276,"665 Buffalo Road Zhujiao Centre (Tekka Market) 210665 Singapore, Singapore 210665 Singapore",210665,1.30617705325622,103.85061131325,29924.521525288,32055.9468707871,0,6
Marina Square,271,"6 Raffles Boulevard Marina Square, Singapore 039594 Singapore",039594,1.29103980256764,103.857623532359,30704.9328447878,30382.1540070474,0,6
Mint Museum of Toys,268,"26 Seah Street, Singapore 188382 Singapore",188382,1.29628457784358,103.854609889909,30369.5354057075,30962.0912386533,,6
313@somerset,258,"313 Orchard Road 313 @ Somerset, Singapore 238895 Singapore",238895,1.30100656917241,103.838246592796,28548.4434900116,31484.2152895685,0,6
Katong District,251,"East Coast Road, Singapore Singapore",East Coast Road,1.30917274080057,103.913299706791,36901.6165121149,32387.4236803978,,15
The Qantas Singapore Lounge,249,"80 Airport Boulevard Changi Airport Terminal 1 Terminal 1, Singapore 819642 Singapore",819642,1.36217150661174,103.990052390616,45442.6523560351,38248.0871373564,0,6
The Pinnacle @ Duxton,248,"1 Cantonment Road The Pinnacle @ Duxton, Singapore 080001 Singapore",080001,1.27703474409457,103.841261034891,28883.9319751868,28833.5354493503,0,6
